constructorStandingsId,raceId,constructorId,points,position,positionText,wins,constructorRef,name,nationality,year
183,35,1,151.0,2,2,6,mclaren,McLaren,British,2008
184,35,2,135.0,3,3,1,bmw_sauber,BMW Sauber,German,2008
185,35,3,26.0,8,8,0,williams,Williams,British,2008
186,35,4,80.0,4,4,2,renault,Renault,French,2008
187,35,5,39.0,6,6,1,toro_rosso,Toro Rosso,Italian,2008
188,35,6,172.0,1,1,8,ferrari,Ferrari,Italian,2008
189,35,7,56.0,5,5,0,toyota,Toyota,Japanese,2008
190,35,9,29.0,7,7,0,red_bull,Red Bull,Austrian,2008
191,35,11,14.0,9,9,0,honda,Honda,Japanese,2008
192,35,10,0.0,10,10,0,force_india,Force India,Indian,2008
193,35,8,0.0,11,11,0,super_aguri,Super Aguri,Japanese,2008
25910,52,1,118.0,11,E,8,mclaren,McLaren,British,2007
25911,52,2,101.0,2,2,0,bmw_sauber,BMW Sauber,German,2007
25913,52,3,33.0,4,4,0,williams,Williams,British,2007
25912,52,4,51.0,3,3,0,renault,Renault,French,2007
25918,52,5,8.0,7,7,0,toro_rosso,Toro Rosso,Italian,2007
25909,52,6,204.0,1,1,9,ferrari,Ferrari,Italian,2007
25914,52,7,13.0,6,6,0,toyota,Toyota,Japanese,2007
25917,52,9,24.0,5,5,0,red_bull,Red Bull,Austrian,2007
25915,52,11,6.0,8,8,0,honda,Honda,Japanese,2007
25916,52,8,4.0,9,9,0,super_aguri,Super Aguri,Japanese,2007
25919,52,12,1.0,10,10,0,spyker,Spyker,Dutch,2007
6509,70,1,110.0,3,3,0,mclaren,McLaren,British,2006
6514,70,2,36.0,5,5,0,bmw_sauber,BMW Sauber,German,2006
6511,70,3,11.0,8,8,0,williams,Williams,British,2006
6507,70,4,206.0,1,1,8,renault,Renault,French,2006
6513,70,5,1.0,9,9,0,toro_rosso,Toro Rosso,Italian,2006
6508,70,6,201.0,2,2,9,ferrari,Ferrari,Italian,2006
6515,70,7,35.0,6,6,0,toyota,Toyota,Japanese,2006
6512,70,9,16.0,7,7,0,red_bull,Red Bull,Austrian,2006
6510,70,11,86.0,4,4,1,honda,Honda,Japanese,2006
6517,70,8,0.0,11,11,0,super_aguri,Super Aguri,Japanese,2006
6516,70,13,0.0,10,10,0,mf1,MF1,Russian,2006
6518,70,14,0.0,12,12,0,spyker_mf1,Spyker MF1,Dutch,2006
745,89,1,182.0,2,2,10,mclaren,McLaren,British,2005
744,89,3,66.0,5,5,0,williams,Williams,British,2005
741,89,4,191.0,1,1,8,renault,Renault,French,2005
742,89,6,100.0,3,3,1,ferrari,Ferrari,Italian,2005
746,89,7,88.0,4,4,0,toyota,Toyota,Japanese,2005
743,89,9,34.0,7,7,0,red_bull,Red Bull,Austrian,2005
747,89,15,20.0,8,8,0,sauber,Sauber,Swiss,2005
748,89,17,12.0,9,9,0,jordan,Jordan,Irish,2005
749,89,18,7.0,10,10,0,minardi,Minardi,Italian,2005
750,89,16,38.0,6,6,0,bar,BAR,British,2005
6311,107,1,69.0,5,5,1,mclaren,McLaren,British,2004
6309,107,3,88.0,4,4,1,williams,Williams,British,2004
6308,107,4,105.0,3,3,1,renault,Renault,French,2004
6307,107,6,262.0,1,1,15,ferrari,Ferrari,Italian,2004
6314,107,7,9.0,8,8,0,toyota,Toyota,Japanese,2004
6312,107,15,34.0,6,6,0,sauber,Sauber,Swiss,2004
6315,107,17,5.0,9,9,0,jordan,Jordan,Irish,2004
6316,107,18,1.0,10,10,0,minardi,Minardi,Italian,2004
6310,107,16,119.0,2,2,0,bar,BAR,British,2004
6313,107,19,10.0,7,7,0,jaguar,Jaguar,British,2004
6128,123,1,142.0,3,3,2,mclaren,McLaren,British,2003
6129,123,3,144.0,2,2,4,williams,Williams,British,2003
6131,123,4,88.0,4,4,1,renault,Renault,French,2003
6130,123,6,158.0,1,1,8,ferrari,Ferrari,Italian,2003
6136,123,7,16.0,8,8,0,toyota,Toyota,Japanese,2003
6132,123,15,19.0,6,6,0,sauber,Sauber,Swiss,2003
6135,123,17,13.0,9,9,1,jordan,Jordan,Irish,2003
6134,123,18,0.0,10,10,0,minardi,Minardi,Italian,2003
6133,123,16,26.0,5,5,0,bar,BAR,British,2003
6137,123,19,18.0,7,7,0,jaguar,Jaguar,British,2003
5973,140,1,65.0,3,3,1,mclaren,McLaren,British,2002
5972,140,3,92.0,2,2,1,williams,Williams,British,2002
5977,140,4,23.0,4,4,0,renault,Renault,French,2002
5971,140,6,221.0,1,1,15,ferrari,Ferrari,Italian,2002
5976,140,7,2.0,10,10,0,toyota,Toyota,Japanese,2002
5978,140,15,11.0,5,5,0,sauber,Sauber,Swiss,2002
5980,140,17,9.0,6,6,0,jordan,Jordan,Irish,2002
5975,140,18,2.0,9,9,0,minardi,Minardi,Italian,2002
5979,140,16,7.0,8,8,0,bar,BAR,British,2002
5974,140,19,8.0,7,7,0,jaguar,Jaguar,British,2002
5981,140,21,2.0,11,11,0,arrows,Arrows,British,2002
5790,157,1,102.0,2,2,4,mclaren,McLaren,British,2001
5799,157,3,80.0,3,3,4,williams,Williams,British,2001
5789,157,6,179.0,1,1,9,ferrari,Ferrari,Italian,2001
5791,157,15,21.0,4,4,0,sauber,Sauber,Swiss,2001
5792,157,17,19.0,5,5,0,jordan,Jordan,Irish,2001
